CREATE TABLE sales (
    Transaction_ID   NUMBER(10),
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10015', TO_DATE ('2024-01-15','YYYY-MM-DD'), 'Clothing', 'North Face Down Jacket', '2', '249.99', '499.98', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10016', TO_DATE ('2024-01-16','YYYY-MM-DD'), 'Books', 'Salt, Fat, Acid, Heat by Samin Nosrat', '3', '35.99', '107.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10017', TO_DATE ('2024-01-17','YYYY-MM-DD'), 'Beauty Products', 'Dyson Supersonic Hair Dryer', '1', '399.99', '399.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10018', TO_DATE ('2024-01-18','YYYY-MM-DD'), 'Sports', 'Manduka PRO Yoga Mat', '4', '119.99', '479.96', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10019', TO_DATE ('2024-01-19','YYYY-MM-DD'), 'Electronics', 'Garmin Forerunner 945', '2', '499.99', '999.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10020', TO_DATE ('2024-01-20','YYYY-MM-DD'), 'Home Appliances', 'Ninja Professional Blender', '1', '99.99', '99.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10021', TO_DATE ('2024-01-21','YYYY-MM-DD'), 'Clothing', 'Zara Summer Dress', '3', '59.99', '179.97', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10022', TO_DATE ('2024-01-22','YYYY-MM-DD'), 'Books', 'Gone Girl by Gillian Flynn', '2', '22.99', '45.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10023', TO_DATE ('2024-01-23','YYYY-MM-DD'), 'Beauty Products', 'Olay Regenerist Face Cream', '1', '49.99', '49.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10024', TO_DATE ('2024-01-24','YYYY-MM-DD'), 'Sports', 'Adidas FIFA World Cup Football', '3', '29.99', '89.97', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10025', TO_DATE ('2024-01-25','YYYY-MM-DD'), 'Electronics', 'Bose QuietComfort 35 Headphones', '1', '299.99', '299.99', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10026', TO_DATE ('2024-01-26','YYYY-MM-DD'), 'Home Appliances', 'Panasonic NN-SN966S Microwave', '1', '179.99', '179.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10027', TO_DATE ('2024-01-27','YYYY-MM-DD'), 'Clothing', 'Adidas Ultraboost Shoes', '2', '179.99', '359.98', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10028', TO_DATE ('2024-01-28','YYYY-MM-DD'), 'Books', 'Pride and Prejudice by Jane Austen', '3', '12.99', '38.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10029', TO_DATE ('2024-01-29','YYYY-MM-DD'), 'Beauty Products', 'MAC Ruby Woo Lipstick', '1', '29.99', '29.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10030', TO_DATE ('2024-01-30','YYYY-MM-DD'), 'Sports', 'Nike Air Zoom Pegasus 37', '2', '129.99', '259.98', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10031', TO_DATE ('2024-01-31','YYYY-MM-DD'), 'Electronics', 'Sony WH-1000XM4 Headphones', '2', '349.99', '699.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10032', TO_DATE ('2024-02-01','YYYY-MM-DD'), 'Home Appliances', 'Instant Pot Duo', '3', '89.99', '269.97', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10033', TO_DATE ('2024-02-02','YYYY-MM-DD'), 'Clothing', 'Under Armour HeatGear T-Shirt', '5', '29.99', '149.95', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10034', TO_DATE ('2024-02-03','YYYY-MM-DD'), 'Books', '1984 by George Orwell', '4', '19.99', '79.96', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10035', TO_DATE ('2024-02-04','YYYY-MM-DD'), 'Beauty Products', 'L''Oreal Revitalift Serum', '2', '39.99', '79.98', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10036', TO_DATE ('2024-02-05','YYYY-MM-DD'), 'Sports', 'Peloton Bike', '1', '1895', '1895', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10037', TO_DATE ('2024-02-06','YYYY-MM-DD'), 'Electronics', 'Apple Watch Series 8', '3', '399.99', '1199.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10038', TO_DATE ('2024-02-07','YYYY-MM-DD'), 'Home Appliances', 'Roomba i7+', '2', '799.99', '1599.98', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10039', TO_DATE ('2024-02-08','YYYY-MM-DD'), 'Clothing', 'Columbia Fleece Jacket', '4', '59.99', '239.96', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10040', TO_DATE ('2024-02-09','YYYY-MM-DD'), 'Books', 'Harry Potter and the Sorcerer''s Stone', '3', '24.99', '74.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10041', TO_DATE ('2024-02-10','YYYY-MM-DD'), 'Beauty Products', 'Estee Lauder Advanced Night Repair', '1', '105', '105', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10042', TO_DATE ('2024-02-11','YYYY-MM-DD'), 'Sports', 'Fitbit Charge 5', '2', '129.99', '259.98', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10043', TO_DATE ('2024-02-12','YYYY-MM-DD'), 'Electronics', 'GoPro HERO10 Black', '3', '399.99', '1199.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10044', TO_DATE ('2024-02-13','YYYY-MM-DD'), 'Home Appliances', 'Nespresso VertuoPlus', '1', '199.99', '199.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10045', TO_DATE ('2024-02-14','YYYY-MM-DD'), 'Clothing', 'Patagonia Better Sweater', '2', '139.99', '279.98', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10046', TO_DATE ('2024-02-15','YYYY-MM-DD'), 'Books', 'Becoming by Michelle Obama', '4', '32.5', '130', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10047', TO_DATE ('2024-02-16','YYYY-MM-DD'), 'Beauty Products', 'Clinique Moisture Surge', '1', '52', '52', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10048', TO_DATE ('2024-02-17','YYYY-MM-DD'), 'Sports', 'Yeti Rambler Tumbler', '6', '39.99', '239.94', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10049', TO_DATE ('2024-02-18','YYYY-MM-DD'), 'Electronics', 'Kindle Paperwhite', '2', '129.99', '259.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10050', TO_DATE ('2024-02-19','YYYY-MM-DD'), 'Home Appliances', 'Breville Smart Oven', '1', '299.99', '299.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10051', TO_DATE ('2024-02-20','YYYY-MM-DD'), 'Clothing', 'Ray-Ban Aviator Sunglasses', '3', '154.99', '464.97', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10052', TO_DATE ('2024-02-21','YYYY-MM-DD'), 'Books', 'The Silent Patient by Alex Michaelides', '2', '26.99', '53.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10053', TO_DATE ('2024-02-22','YYYY-MM-DD'), 'Beauty Products', 'Shiseido Ultimate Sun Protector', '1', '49', '49', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10054', TO_DATE ('2024-02-23','YYYY-MM-DD'), 'Sports', 'Titleist Pro V1 Golf Balls', '5', '49.99', '249.95', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10055', TO_DATE ('2024-02-24','YYYY-MM-DD'), 'Electronics', 'Anker PowerCore Portable Charger', '4', '59.99', '239.96', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10056', TO_DATE ('2024-02-25','YYYY-MM-DD'), 'Home Appliances', 'KitchenAid Artisan Stand Mixer', '1', '499.99', '499.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10057', TO_DATE ('2024-02-26','YYYY-MM-DD'), 'Clothing', 'Calvin Klein Boxer Briefs', '5', '29.99', '149.95', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10058', TO_DATE ('2024-02-27','YYYY-MM-DD'), 'Books', 'Educated by Tara Westover', '3', '28', '84', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10059', TO_DATE ('2024-02-28','YYYY-MM-DD'), 'Beauty Products', 'Anastasia Beverly Hills Brow Wiz', '2', '23', '46', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10060', TO_DATE ('2024-02-29','YYYY-MM-DD'), 'Sports', 'Hyperice Hypervolt Massager', '1', '349', '349', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10061', TO_DATE ('2024-03-01','YYYY-MM-DD'), 'Electronics', 'Nintendo Switch', '3', '299.99', '899.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10062', TO_DATE ('2024-03-02','YYYY-MM-DD'), 'Home Appliances', 'Philips Airfryer XXL', '2', '199.99', '399.98', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10063', TO_DATE ('2024-03-03','YYYY-MM-DD'), 'Clothing', 'Hanes ComfortSoft T-Shirt', '10', '9.99', '99.9', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10064', TO_DATE ('2024-03-04','YYYY-MM-DD'), 'Books', 'Where the Crawdads Sing by Delia Owens', '4', '18.99', '75.96', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10065', TO_DATE ('2024-03-05','YYYY-MM-DD'), 'Beauty Products', 'Lancome La Vie Est Belle', '1', '102', '102', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10066', TO_DATE ('2024-03-06','YYYY-MM-DD'), 'Sports', 'Garmin Edge 530', '2', '299.99', '599.98', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10067', TO_DATE ('2024-03-07','YYYY-MM-DD'), 'Electronics', 'Samsung QLED 4K TV', '1', '1199.99', '1199.99', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10068', TO_DATE ('2024-03-08','YYYY-MM-DD'), 'Home Appliances', 'Eufy RoboVac 11S', '3', '219.99', '659.97', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10069', TO_DATE ('2024-03-09','YYYY-MM-DD'), 'Clothing', 'Puma Suede Classic Sneakers', '4', '59.99', '239.96', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10070', TO_DATE ('2024-03-10','YYYY-MM-DD'), 'Books', 'The Great Gatsby by F. Scott Fitzgerald', '2', '10.99', '21.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10071', TO_DATE ('2024-03-11','YYYY-MM-DD'), 'Beauty Products', 'Drunk Elephant C-Firma Day Serum', '1', '78', '78', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10072', TO_DATE ('2024-03-12','YYYY-MM-DD'), 'Sports', 'Nike Metcon 6', '3', '129.99', '389.97', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10073', TO_DATE ('2024-03-13','YYYY-MM-DD'), 'Electronics', 'HP Spectre x360 Laptop', '1', '1599.99', '1599.99', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10074', TO_DATE ('2024-03-14','YYYY-MM-DD'), 'Home Appliances', 'De''Longhi Magnifica Espresso Machine', '1', '899.99', '899.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10075', TO_DATE ('2024-03-15','YYYY-MM-DD'), 'Clothing', 'Tommy Hilfiger Polo Shirt', '5', '49.99', '249.95', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10076', TO_DATE ('2024-03-16','YYYY-MM-DD'), 'Books', 'To Kill a Mockingbird by Harper Lee', '4', '14.99', '59.96', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10077', TO_DATE ('2024-03-17','YYYY-MM-DD'), 'Beauty Products', 'Glossier Boy Brow', '2', '16', '32', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10078', TO_DATE ('2024-03-18','YYYY-MM-DD'), 'Sports', 'Rogue Fitness Kettlebell', '3', '69.99', '209.97', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10079', TO_DATE ('2024-03-19','YYYY-MM-DD'), 'Electronics', 'Apple AirPods Pro', '2', '249.99', '499.98', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10080', TO_DATE ('2024-03-20','YYYY-MM-DD'), 'Home Appliances', 'Dyson Pure Cool Link', '1', '499.99', '499.99', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10081', TO_DATE ('2024-03-21','YYYY-MM-DD'), 'Clothing', 'Levi''s Trucker Jacket', '2', '89.99', '179.98', 'Asia', 'Debit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10082', TO_DATE ('2024-03-22','YYYY-MM-DD'), 'Books', 'The Hobbit by J.R.R. Tolkien', '3', '12.99', '38.97', 'North America', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10083', TO_DATE ('2024-03-23','YYYY-MM-DD'), 'Beauty Products', 'Charlotte Tilbury Magic Cream', '1', '100', '100', 'Europe', 'PayPal');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10084', TO_DATE ('2024-03-24','YYYY-MM-DD'), 'Sports', 'Spalding NBA Street Basketball', '6', '24.99', '149.94', 'Asia', 'Credit Card');
INSERT INTO  sales (Transaction_ID, Sales_DATE, Product_Category, Product_Name, Units_Sold, Unit_Price, Total_Revenue, sales_Region, Payment_Method) VALUES ('10085', TO_DATE ('2024-03-25','YYYY-MM-DD'), 'Electronics', 'Ring Video Doorbell', '1', '99.99', '99.99', 'North America', 'Credit Card');
